Lat,Long,Average ALLSKY_SFC_SW_DWN,Average ALLSKY_SFC_SW_DNI
1.2957,103.8467,197.67681159420286,102.21971014492759
1.314,103.7624,197.67681159420286,102.21971014492759
1.4453,103.8497,197.67681159420286,102.21971014492759
1.3132,103.838,197.67681159420286,102.21971014492759
1.3483,103.749,197.67681159420286,102.21971014492759
1.373,103.9493,197.67681159420286,102.21971014492759
1.2735,103.8596,197.67681159420286,102.21971014492759
1.3342,103.8562,197.67681159420286,102.21971014492759
1.4498,103.8216,197.67681159420286,102.21971014492759
1.3698,103.8466,197.67681159420286,102.21971014492759
1.3515,103.8698,197.67681159420286,102.21971014492759
1.4369,103.7862,197.67681159420286,102.21971014492759
1.2818,103.819,197.67681159420286,102.21971014492759
1.3257,103.9315,197.67681159420286,102.21971014492759
1.306,103.8153,197.67681159420286,102.21971014492759
1.3655,103.7308,197.67681159420286,102.21971014492759
1.2798,103.8556,197.67681159420286,102.21971014492759
1.2938,103.8684,197.67681159420286,102.21971014492759
1.3605,103.9256,197.67681159420286,102.21971014492759
1.3519,103.849,197.67681159420286,102.21971014492759
1.3539,103.9747,197.67681159420286,102.21971014492759
1.2332,103.7309,197.67681159420286,102.21971014492759
1.3049,103.8534,197.67681159420286,102.21971014492759
1.3756,103.6744,197.67681159420286,102.21971014492759
1.3182,103.8871,197.67681159420286,102.21971014492759
1.4054,103.9018,197.67681159420286,102.21971014492759
1.3547,103.9436,197.67681159420286,102.21971014492759
1.3051,103.8318,197.67681159420286,102.21971014492759
1.4236,103.7572,197.67681159420286,102.21971014492759
1.4294,103.835,197.67681159420286,102.21971014492759
1.3329,103.7436,197.67681159420286,102.21971014492759
1.3893,103.7437,197.67681159420286,102.21971014492759
1.3294,103.6482,197.67681159420286,102.21971014492759
1.4091,104.0268,213.40195652173912,152.7876086956521
1.3175,104.0217,213.40195652173912,152.7876086956521
1.4235,103.8033,197.67681159420286,102.21971014492759
1.3919,103.8955,197.67681159420286,102.21971014492759
1.3027,103.7968,197.67681159420286,102.21971014492759
1.4342,103.715,197.67681159420286,102.21971014492759
1.3791,103.7614,197.67681159420286,102.21971014492759
1.3376,103.6974,197.67681159420286,102.21971014492759
1.3386,103.7058,197.67681159420286,102.21971014492759
1.302,103.9009,197.67681159420286,102.21971014492759
1.2956,103.8374,197.67681159420286,102.21971014492759
1.2817,103.8407,197.67681159420286,102.21971014492759
1.4098,103.8774,197.67681159420286,102.21971014492759
1.3734,103.8861,197.67681159420286,102.21971014492759
1.4044,103.7896,197.67681159420286,102.21971014492759
1.248,103.8311,197.67681159420286,102.21971014492759
1.2804,103.8661,197.67681159420286,102.21971014492759
1.2874,103.8462,197.67681159420286,102.21971014492759
1.3232,103.8371,197.67681159420286,102.21971014492759
1.3522,103.7113,197.67681159420286,102.21971014492759
1.3547,103.7764,197.67681159420286,102.21971014492759
1.3108,103.8663,197.67681159420286,102.21971014492759
